"Date","Price","Open","High","Low","Change %"
"Jan 30, 2018","101.770","101.910","102.060","101.750","0.04%"
"Jan 29, 2018","101.725","101.765","101.785","101.575","0.04%"
"Jan 26, 2018","101.680","101.680","101.680","101.680","0.00%"
"Jan 25, 2018","101.680","101.640","101.830","101.530","-0.23%"
"Jan 24, 2018","101.910","101.980","101.980","101.800","-0.13%"
"Jan 23, 2018","102.040","102.250","102.250","101.990","-0.15%"
"Jan 22, 2018","102.190","102.220","102.410","101.950","0.03%"
"Jan 19, 2018","102.160","101.880","102.180","101.810","-0.01%"
"Jan 18, 2018","102.170","102.170","102.310","102.000","-0.05%"
"Jan 17, 2018","102.220","102.530","102.530","102.040","-0.23%"
"Jan 16, 2018","102.460","101.770","102.580","101.750","0.86%"
"Jan 15, 2018","101.585","101.535","101.585","101.335","-0.23%"
"Jan 12, 2018","101.815","101.765","101.955","101.575","-0.04%"
"Jan 11, 2018","101.855","101.845","102.115","101.825","0.10%"
"Jan 10, 2018","101.750","101.900","102.150","101.690","-0.19%"
"Jan 09, 2018","101.940","101.580","101.970","101.480","0.32%"
"Jan 08, 2018","101.615","101.335","101.615","101.185","0.22%"
"Jan 05, 2018","101.390","101.370","101.470","101.310","-0.06%"
"Jan 04, 2018","101.450","101.750","101.780","101.390","-0.20%"
"Jan 03, 2018","101.655","101.685","101.715","101.525","0.08%"
"Jan 02, 2018","101.570","101.910","102.030","101.500","-0.31%"
"Jan 01, 2018","101.890","102.170","102.190","101.820","-0.30%"
"Dec 29, 2017","102.200","102.480","102.510","102.060","-0.32%"
"Dec 28, 2017","102.530","102.650","102.840","102.520","-0.12%"
"Dec 27, 2017","102.650","102.510","102.690","102.510","0.11%"
"Dec 26, 2017","102.535","102.455","102.585","102.435","0.05%"
"Dec 25, 2017","102.480","102.480","102.480","102.480","0.00%"
"Dec 22, 2017","102.480","102.490","102.540","102.430","-0.01%"
"Dec 21, 2017","102.490","102.410","102.620","102.410","-0.09%"
"Dec 20, 2017","102.585","102.415","102.605","102.405","0.13%"
"Dec 19, 2017","102.450","102.760","102.760","102.310","-0.33%"
"Dec 18, 2017","102.785","102.645","103.585","102.535","0.31%"
"Dec 15, 2017","102.470","102.650","102.670","102.420","-0.47%"
"Dec 14, 2017","102.950","102.970","102.970","102.800","-0.15%"
"Dec 13, 2017","103.100","103.260","103.290","103.080","0.05%"
"Dec 12, 2017","103.050","103.070","103.240","103.030","0.06%"
"Dec 11, 2017","102.985","103.125","103.125","102.905","-0.13%"
"Dec 08, 2017","103.120","103.300","103.340","103.110","-0.19%"
"Dec 07, 2017","103.320","103.210","103.370","103.180","0.08%"
"Dec 06, 2017","103.240","103.130","103.280","103.030","0.22%"
"Dec 05, 2017","103.015","102.885","103.135","102.755","0.01%"
"Dec 04, 2017","103.000","103.290","103.290","102.860","-0.15%"
"Dec 01, 2017","103.150","103.150","103.150","103.150","0.00%"
"Nov 30, 2017","103.150","103.270","103.400","103.070","0.24%"
"Nov 29, 2017","102.905","103.145","103.225","102.835","-0.16%"
"Nov 28, 2017","103.065","103.255","103.365","102.985","-0.14%"
"Nov 27, 2017","103.210","103.550","103.730","103.180","-0.30%"
"Nov 24, 2017","103.525","103.335","103.595","103.275","0.18%"
"Nov 23, 2017","103.335","103.685","103.815","103.315","-0.51%"
"Nov 22, 2017","103.865","103.665","103.935","103.545","0.04%"
"Nov 21, 2017","103.825","104.135","104.185","103.815","-0.34%"
"Nov 20, 2017","104.175","103.955","104.195","103.955","0.14%"
"Nov 17, 2017","104.025","103.435","104.115","103.395","-0.47%"
"Nov 16, 2017","104.520","104.460","104.620","104.230","0.17%"
"Nov 15, 2017","104.345","104.695","104.695","104.265","-0.31%"
"Nov 14, 2017","104.670","104.540","104.860","104.460","-0.01%"
"Nov 13, 2017","104.680","104.600","104.830","104.420","0.40%"
"Nov 10, 2017","104.265","104.105","104.295","103.995","0.35%"
"Nov 09, 2017","103.905","103.905","104.005","103.765","-0.02%"
"Nov 08, 2017","103.930","104.220","104.270","103.890","-0.12%"
"Nov 07, 2017","104.050","103.450","104.110","103.380","0.54%"
"Nov 06, 2017","103.490","103.450","103.590","103.450","0.20%"
"Nov 03, 2017","103.280","103.320","103.420","103.240","-0.10%"
"Nov 02, 2017","103.380","103.260","103.480","103.160","0.03%"
"Nov 01, 2017","103.350","103.530","103.530","103.220","-0.24%"
"Oct 31, 2017","103.600","103.740","103.750","103.560","-0.16%"
"Oct 30, 2017","103.770","103.820","103.930","103.670","-0.30%"
"Oct 27, 2017","104.080","104.040","104.180","103.950","0.35%"
"Oct 26, 2017","103.720","103.670","103.860","103.560","-0.11%"
"Oct 25, 2017","103.830","104.230","104.320","103.820","-0.25%"
"Oct 24, 2017","104.095","103.955","104.155","103.835","0.06%"
"Oct 23, 2017","104.035","104.115","104.185","103.965","-0.03%"
"Oct 20, 2017","104.065","104.065","104.065","104.065","0.00%"
"Oct 19, 2017","104.065","104.065","104.065","104.065","0.00%"
"Oct 18, 2017","104.065","103.975","104.255","103.925","0.02%"
"Oct 17, 2017","104.040","103.670","104.070","103.670","0.43%"
"Oct 16, 2017","103.590","103.690","103.690","103.510","-0.29%"
"Oct 13, 2017","103.890","103.930","103.950","103.800","-0.24%"
"Oct 12, 2017","104.135","104.215","104.255","104.065","-0.09%"
"Oct 11, 2017","104.230","104.360","104.510","104.200","-0.21%"
"Oct 10, 2017","104.450","104.570","104.600","104.330","-0.11%"
"Oct 09, 2017","104.570","104.600","104.660","104.440","-0.04%"
"Oct 06, 2017","104.610","104.310","104.630","104.310","0.36%"
"Oct 05, 2017","104.230","104.150","104.310","103.960","0.20%"
"Oct 04, 2017","104.025","104.585","104.615","103.915","-0.74%"
"Oct 03, 2017","104.800","104.950","105.020","104.750","0.33%"
"Oct 02, 2017","104.455","104.455","104.455","104.455","0.00%"
"Sep 29, 2017","104.455","104.535","104.745","104.375","-0.34%"
"Sep 28, 2017","104.810","105.260","105.430","104.790","-0.32%"
"Sep 27, 2017","105.145","104.585","105.205","104.545","0.41%"
"Sep 26, 2017","104.720","104.390","104.730","104.250","0.53%"
"Sep 25, 2017","104.170","103.750","104.280","103.560","0.48%"
"Sep 22, 2017","103.670","103.930","104.250","103.610","-0.02%"
"Sep 21, 2017","103.695","103.205","103.745","103.105","0.85%"
"Sep 20, 2017","102.825","102.805","103.095","102.785","-0.10%"
"Sep 19, 2017","102.930","102.690","102.940","102.610","0.31%"
"Sep 18, 2017","102.615","102.485","102.625","102.405","0.09%"
"Sep 15, 2017","102.525","102.625","102.625","102.465","-0.06%"
"Sep 14, 2017","102.590","102.680","102.680","102.510","0.19%"
"Sep 13, 2017","102.400","102.380","102.450","102.350","-0.06%"
"Sep 12, 2017","102.465","102.375","102.475","102.295","0.17%"
"Sep 11, 2017","102.295","102.245","102.295","102.135","0.24%"
"Sep 08, 2017","102.055","102.145","102.335","102.045","-0.41%"
"Sep 07, 2017","102.480","102.470","102.490","102.370","-0.08%"
"Sep 06, 2017","102.560","102.700","102.820","102.560","0.01%"
"Sep 05, 2017","102.550","102.610","102.700","102.550","0.06%"
"Sep 04, 2017","102.490","102.310","102.690","102.300","0.04%"
"Sep 01, 2017","102.450","102.420","102.620","102.340","0.05%"
"Aug 31, 2017","102.400","102.650","102.690","102.400","0.00%"
"Aug 30, 2017","102.400","102.550","102.620","102.390","-0.05%"
"Aug 29, 2017","102.450","102.470","102.600","102.420","0.20%"
"Aug 28, 2017","102.250","102.300","102.300","102.170","-0.20%"
"Aug 25, 2017","102.450","102.450","102.450","102.450","0.00%"
"Aug 24, 2017","102.450","102.610","102.690","102.450","-0.10%"
"Aug 23, 2017","102.550","102.510","102.680","102.510","0.00%"
"Aug 22, 2017","102.550","102.590","102.680","102.520","0.00%"
"Aug 21, 2017","102.550","102.560","102.690","102.470","-0.05%"
"Aug 18, 2017","102.600","102.790","102.790","102.600","0.00%"
"Aug 17, 2017","102.600","102.600","102.600","102.600","0.00%"
"Aug 16, 2017","102.600","102.950","103.020","102.600","0.05%"
"Aug 15, 2017","102.550","102.550","102.550","102.550","0.00%"
"Aug 14, 2017","102.550","102.480","102.670","102.340","-0.06%"
"Aug 11, 2017","102.615","102.725","102.825","102.585","0.16%"
"Aug 10, 2017","102.450","102.340","102.580","101.750","0.34%"
"Aug 09, 2017","102.100","102.150","102.240","101.800","0.20%"
"Aug 08, 2017","101.900","102.230","102.250","101.900","-0.15%"
"Aug 07, 2017","102.050","101.990","102.190","101.850","0.20%"
"Aug 04, 2017","101.850","101.920","102.010","101.770","0.00%"
"Aug 03, 2017","101.850","102.250","102.250","101.750","-0.54%"
"Aug 02, 2017","102.400","102.690","102.710","101.840","-0.05%"
"Aug 01, 2017","102.450","102.610","102.670","102.450","-0.24%"
"Jul 31, 2017","102.695","102.585","102.795","102.475","0.04%"
"Jul 28, 2017","102.650","102.750","102.830","102.630","0.10%"
"Jul 27, 2017","102.550","102.800","102.800","102.550","-0.39%"
"Jul 26, 2017","102.950","103.140","103.160","102.950","0.00%"
"Jul 25, 2017","102.950","103.120","103.120","102.850","0.05%"
"Jul 24, 2017","102.900","103.160","103.230","102.900","-0.01%"
"Jul 21, 2017","102.910","103.020","103.020","102.890","-0.14%"
"Jul 20, 2017","103.050","102.990","103.180","102.960","0.19%"
"Jul 19, 2017","102.850","103.010","103.010","102.850","-0.05%"
"Jul 18, 2017","102.900","103.010","103.080","102.900","-0.05%"
"Jul 17, 2017","102.950","102.990","103.070","102.950","-0.15%"
"Jul 14, 2017","103.100","103.300","103.300","103.100","-0.01%"
"Jul 13, 2017","103.110","103.030","103.160","103.030","-0.52%"
"Jul 12, 2017","103.650","103.890","103.890","103.320","0.39%"
"Jul 11, 2017","103.250","103.170","103.390","103.150","0.05%"
"Jul 10, 2017","103.200","103.400","103.420","103.200","-0.29%"
"Jul 07, 2017","103.500","103.800","104.120","103.500","-0.10%"
"Jul 06, 2017","103.600","103.970","103.970","103.600","-0.05%"
"Jul 05, 2017","103.650","104.050","104.090","103.450","-0.25%"
"Jul 04, 2017","103.910","103.970","103.970","103.510","-0.06%"
"Jul 03, 2017","103.970","103.710","103.970","103.420","0.41%"
"Jun 30, 2017","103.550","103.830","104.140","103.450","0.05%"
"Jun 29, 2017","103.500","103.950","104.040","103.400","-0.05%"
"Jun 28, 2017","103.550","103.890","104.020","103.450","-0.10%"
"Jun 27, 2017","103.650","103.850","103.890","103.190","0.00%"
"Jun 26, 2017","103.650","103.900","103.920","103.650","-0.10%"
"Jun 23, 2017","103.750","103.350","103.820","103.120","0.19%"
"Jun 22, 2017","103.550","104.040","104.040","103.270","-0.34%"
"Jun 21, 2017","103.900","103.640","103.900","103.190","0.29%"
"Jun 20, 2017","103.600","103.540","103.770","103.150","0.29%"
"Jun 19, 2017","103.300","104.020","104.140","103.300","-0.05%"
"Jun 16, 2017","103.350","104.020","104.140","103.350","-0.10%"
"Jun 15, 2017","103.450","103.700","104.040","103.030","0.00%"
"Jun 14, 2017","103.450","103.650","103.840","103.020","0.15%"
"Jun 13, 2017","103.300","103.990","103.990","103.300","-0.24%"
"Jun 12, 2017","103.550","103.520","103.800","103.030","0.00%"
"Jun 09, 2017","103.550","103.670","103.890","103.010","0.29%"
"Jun 08, 2017","103.250","103.920","104.030","103.170","-0.15%"
"Jun 07, 2017","103.400","103.970","103.990","103.160","-0.27%"
"Jun 06, 2017","103.680","103.480","103.680","102.910","0.22%"
"Jun 05, 2017","103.450","103.750","103.870","103.110","-0.10%"
"Jun 02, 2017","103.550","104.030","104.060","103.280","-0.19%"
"Jun 01, 2017","103.750","103.530","103.870","103.200","0.10%"
"May 31, 2017","103.650","103.950","103.980","103.330","-0.19%"
"May 30, 2017","103.850","103.840","104.020","103.490","0.14%"
"May 29, 2017","103.700","103.670","103.700","103.130","0.00%"
"May 26, 2017","103.700","103.740","103.770","103.140","0.05%"
"May 25, 2017","103.650","103.970","103.970","103.310","-0.10%"
"May 24, 2017","103.750","104.120","104.190","103.750","-0.05%"
"May 23, 2017","103.800","103.900","104.210","103.610","0.05%"
"May 22, 2017","103.750","103.480","104.070","103.340","0.00%"
"May 19, 2017","103.750","104.180","104.410","103.590","-0.14%"
"May 18, 2017","103.900","102.500","104.070","102.500","1.22%"
"May 17, 2017","102.650","102.390","102.660","102.380","0.15%"
"May 16, 2017","102.500","102.600","102.740","102.500","0.00%"
"May 15, 2017","102.495","102.575","102.655","102.405","-1.00%"
"May 12, 2017","103.530","103.650","103.650","102.820","-0.12%"
"May 11, 2017","103.650","103.800","103.800","102.950","-0.14%"
"May 10, 2017","103.800","103.830","103.850","103.800","0.34%"
"May 09, 2017","103.450","103.120","103.560","102.450","0.58%"
"May 08, 2017","102.850","102.880","102.960","102.750","-0.10%"
"May 05, 2017","102.950","102.800","103.060","102.800","0.25%"
"May 04, 2017","102.690","102.700","102.790","102.670","0.09%"
"May 03, 2017","102.600","102.690","103.200","102.600","-0.10%"
"May 02, 2017","102.700","102.790","102.860","102.600","-0.11%"
"May 01, 2017","102.810","103.390","103.460","102.810","-0.57%"
"Apr 28, 2017","103.400","102.880","103.400","102.880","0.83%"
"Apr 27, 2017","102.550","102.530","102.710","102.400","-0.04%"
"Apr 26, 2017","102.590","103.600","103.600","102.280","-0.97%"
"Apr 25, 2017","103.600","103.600","103.670","102.750","-0.05%"
"Apr 24, 2017","103.650","103.970","103.970","103.220","-0.17%"
"Apr 21, 2017","103.830","103.760","103.830","103.280","0.08%"
"Apr 20, 2017","103.750","103.430","103.820","103.250","-0.03%"
"Apr 19, 2017","103.780","103.800","103.920","103.330","0.32%"
"Apr 18, 2017","103.450","103.130","104.040","103.130","-0.05%"
"Apr 17, 2017","103.500","103.750","103.800","103.060","0.00%"
"Apr 14, 2017","103.500","103.770","103.770","103.500","-0.05%"
"Apr 13, 2017","103.550","103.890","103.960","102.960","-0.05%"
"Apr 12, 2017","103.600","103.850","104.030","103.450","0.48%"
"Apr 11, 2017","103.100","103.760","103.820","103.100","-0.53%"
"Apr 10, 2017","103.650","103.570","103.880","103.030","0.14%"
"Apr 07, 2017","103.500","103.900","103.990","102.820","-0.19%"
"Apr 06, 2017","103.700","104.220","104.290","103.400","-0.32%"
"Apr 05, 2017","104.030","104.110","104.280","103.800","-0.07%"
"Apr 04, 2017","104.100","103.960","104.240","103.960","0.00%"
"Apr 03, 2017","104.100","103.780","104.240","103.720","0.24%"
"Mar 31, 2017","103.850","104.220","104.220","103.710","-0.86%"
"Mar 30, 2017","104.750","105.060","105.300","104.340","0.00%"
"Mar 29, 2017","104.750","105.200","105.390","104.350","-0.14%"
"Mar 28, 2017","104.900","105.100","105.240","104.900","-0.10%"
"Mar 27, 2017","105.000","105.490","105.490","104.350","-0.19%"
"Mar 24, 2017","105.200","105.130","105.250","104.620","0.14%"
"Mar 23, 2017","105.050","105.420","105.490","104.850","-0.10%"
"Mar 22, 2017","105.150","105.150","105.390","104.560","0.05%"
"Mar 21, 2017","105.100","105.170","105.240","104.370","-0.05%"
"Mar 20, 2017","105.150","105.320","105.380","104.630","-0.03%"
"Mar 17, 2017","105.180","105.110","105.250","104.720","0.03%"
"Mar 16, 2017","105.150","105.420","105.430","104.520","-0.10%"
"Mar 15, 2017","105.250","106.090","106.090","104.710","-0.75%"
"Mar 14, 2017","106.050","106.610","106.820","105.240","-0.75%"
"Mar 13, 2017","106.850","107.370","107.650","106.850","0.00%"
"Mar 10, 2017","106.850","106.960","107.650","106.850","-0.14%"
"Mar 09, 2017","107.000","107.450","107.620","107.000","-0.09%"
"Mar 08, 2017","107.100","106.800","107.440","106.790","0.05%"
"Mar 07, 2017","107.050","107.350","107.450","106.790","-0.05%"
"Mar 06, 2017","107.100","107.450","107.490","106.900","-0.05%"
"Mar 03, 2017","107.150","106.960","107.470","106.910","0.00%"
"Mar 02, 2017","107.150","107.420","107.480","106.840","0.00%"
"Mar 01, 2017","107.150","107.340","107.490","106.960","-0.03%"
"Feb 28, 2017","107.180","107.080","107.320","106.770","-0.02%"
"Feb 27, 2017","107.200","106.980","107.210","106.630","-0.03%"
"Feb 24, 2017","107.230","107.250","107.300","106.670","0.07%"
"Feb 23, 2017","107.150","107.470","107.510","107.010","0.00%"
"Feb 22, 2017","107.150","107.250","107.640","107.140","-0.09%"
"Feb 21, 2017","107.250","107.310","107.590","107.250","-0.17%"
"Feb 20, 2017","107.430","107.540","107.540","107.020","0.17%"
"Feb 17, 2017","107.250","107.640","107.640","106.990","-0.23%"
"Feb 16, 2017","107.500","107.340","107.500","107.070","0.19%"
"Feb 15, 2017","107.300","107.370","107.650","107.110","0.05%"
"Feb 14, 2017","107.250","107.690","107.690","107.190","-0.09%"
"Feb 13, 2017","107.350","107.280","107.660","107.190","0.42%"
"Feb 10, 2017","106.900","107.160","107.300","106.900","-0.60%"
"Feb 09, 2017","107.550","107.190","107.750","107.150","-0.09%"
"Feb 08, 2017","107.650","107.870","107.960","107.350","-0.09%"
"Feb 07, 2017","107.750","107.410","107.950","107.250","0.23%"
"Feb 06, 2017","107.500","107.040","107.670","107.040","-0.19%"
"Feb 03, 2017","107.700","108.440","108.440","107.670","-0.06%"
"Feb 02, 2017","107.760","108.570","108.570","107.760","-0.15%"
"Feb 01, 2017","107.920","109.100","109.310","107.920","-0.81%"
"Jan 31, 2017","108.800","109.100","109.500","108.440","-0.27%"
"Jan 30, 2017","109.100","108.870","109.500","108.530","0.00%"
"Jan 27, 2017","109.100","109.700","109.700","108.650","-0.21%"
"Jan 26, 2017","109.330","109.090","109.330","108.340","-0.11%"
"Jan 25, 2017","109.450","109.620","109.880","108.940","0.00%"
"Jan 24, 2017","109.450","108.980","109.890","108.800","0.03%"
"Jan 23, 2017","109.420","109.760","109.910","108.850","0.08%"
"Jan 20, 2017","109.330","108.900","109.560","108.490","-0.06%"
"Jan 19, 2017","109.400","109.650","109.720","108.990","0.14%"
"Jan 18, 2017","109.250","109.450","109.720","108.650","-0.14%"
"Jan 17, 2017","109.400","109.210","109.810","108.710","0.02%"
"Jan 16, 2017","109.380","109.550","109.660","108.670","-0.05%"
"Jan 13, 2017","109.430","109.420","109.700","108.770","0.12%"
"Jan 12, 2017","109.300","109.560","109.790","108.470","-0.23%"
"Jan 11, 2017","109.550","109.680","110.050","109.080","0.14%"
"Jan 10, 2017","109.400","109.620","109.920","108.770","-0.14%"
"Jan 09, 2017","109.550","109.520","109.850","109.030","0.46%"
"Jan 06, 2017","109.050","109.270","109.630","107.700","-0.03%"
"Jan 05, 2017","109.080","109.450","109.690","107.770","-0.06%"
"Jan 04, 2017","109.150","109.500","109.940","108.870","-0.27%"
"Jan 03, 2017","109.450","109.560","110.060","108.890","0.20%"
"Jan 02, 2017","109.230","108.800","109.300","108.280","0.00%"
"Dec 30, 2016","109.230","108.770","109.720","107.880","-0.06%"
"Dec 29, 2016","109.300","109.630","109.870","108.900","-0.14%"
"Dec 28, 2016","109.450","109.500","109.860","108.690","0.18%"
"Dec 27, 2016","109.250","108.690","109.740","108.450","0.79%"
"Dec 26, 2016","108.390","109.020","109.060","108.370","-0.68%"
"Dec 23, 2016","109.130","109.190","109.360","108.200","-0.29%"
"Dec 22, 2016","109.450","109.370","109.720","108.340","0.00%"
"Dec 21, 2016","109.450","109.550","109.670","108.550","0.00%"
"Dec 20, 2016","109.450","109.320","109.760","108.500","0.00%"
"Dec 19, 2016","109.450","109.450","109.600","108.330","0.00%"
"Dec 16, 2016","109.450","108.620","109.470","108.200","0.00%"
"Dec 15, 2016","109.450","109.100","109.970","108.340","0.00%"
"Dec 14, 2016","109.450","108.170","109.600","107.880","0.00%"
"Dec 13, 2016","109.450","109.050","109.600","107.540","0.00%"
"Dec 12, 2016","109.450","109.100","109.600","108.440","0.00%"
"Dec 09, 2016","109.450","109.700","109.790","107.850","0.00%"
"Dec 08, 2016","109.450","109.220","109.600","107.700","0.00%"
"Dec 07, 2016","109.450","109.520","109.600","108.210","0.37%"
"Dec 06, 2016","109.050","109.090","109.210","108.080","-0.37%"
"Dec 05, 2016","109.450","109.740","109.960","109.010","0.16%"
"Dec 02, 2016","109.280","109.640","109.640","108.530","-0.27%"
"Dec 01, 2016","109.580","109.340","109.790","108.810","-0.61%"
"Nov 30, 2016","110.250","110.010","110.370","109.300","0.00%"
"Nov 29, 2016","110.250","110.110","110.510","109.290","-0.09%"
"Nov 28, 2016","110.350","110.050","110.580","109.090","0.66%"
"Nov 25, 2016","109.630","110.010","110.200","109.140","-0.20%"
"Nov 24, 2016","109.850","109.790","111.110","109.750","0.27%"
"Nov 23, 2016","109.550","109.540","111.020","109.190","0.09%"
"Nov 22, 2016","109.450","109.450","109.780","108.930","0.18%"
"Nov 21, 2016","109.250","108.990","109.260","108.450","0.00%"
"Nov 18, 2016","109.250","108.680","109.450","108.430","0.51%"
"Nov 17, 2016","108.700","108.630","109.190","108.380","0.18%"
"Nov 16, 2016","108.500","108.860","109.240","108.180","0.00%"
"Nov 15, 2016","108.500","109.130","109.130","108.040","0.74%"
"Nov 14, 2016","107.700","108.060","108.850","107.570","0.12%"
"Nov 11, 2016","107.570","106.430","107.610","106.180","0.67%"
"Nov 10, 2016","106.850","108.260","108.260","106.140","0.09%"
"Nov 09, 2016","106.750","107.150","107.620","106.300","-0.17%"
"Nov 08, 2016","106.930","107.100","107.420","106.580","-0.16%"
"Nov 07, 2016","107.100","107.290","107.500","106.680","0.14%"
"Nov 04, 2016","106.950","107.250","107.540","106.720","0.00%"
"Nov 03, 2016","106.950","107.180","107.490","106.670","-0.09%"
"Nov 02, 2016","107.050","107.200","107.490","106.350","0.14%"
"Nov 01, 2016","106.900","106.870","107.440","106.650","-0.14%"
"Oct 31, 2016","107.050","107.340","107.580","106.830","-0.05%"
"Oct 28, 2016","107.100","107.620","107.720","106.810","-0.03%"
"Oct 27, 2016","107.130","106.790","107.130","106.470","-0.16%"
"Oct 26, 2016","107.300","107.380","107.590","106.810","0.09%"
"Oct 25, 2016","107.200","107.400","107.610","106.910","0.09%"
"Oct 24, 2016","107.100","107.440","107.650","106.920","-0.05%"
"Oct 21, 2016","107.150","107.170","107.690","106.940","0.33%"
"Oct 20, 2016","106.800","106.770","107.170","106.440","0.05%"
"Oct 19, 2016","106.750","107.020","107.320","106.650","-0.33%"
"Oct 18, 2016","107.100","107.310","107.400","106.660","0.26%"
"Oct 17, 2016","106.820","106.540","107.030","106.320","0.04%"
"Oct 14, 2016","106.780","107.130","107.520","106.720","-0.30%"
"Oct 13, 2016","107.100","107.180","107.630","106.550","0.33%"
"Oct 12, 2016","106.750","106.800","107.040","106.550","0.14%"
"Oct 11, 2016","106.600","106.610","107.110","106.000","0.02%"
"Oct 10, 2016","106.580","106.460","106.820","105.950","-0.02%"
"Oct 07, 2016","106.600","106.760","107.240","106.100","-0.37%"
"Oct 06, 2016","107.000","106.510","107.220","106.000","0.38%"
"Oct 05, 2016","106.600","106.270","106.750","105.910","-0.33%"
"Oct 04, 2016","106.950","106.870","107.420","105.740","0.07%"
"Oct 03, 2016","106.880","106.720","106.950","105.830","-0.08%"
"Sep 30, 2016","106.970","106.870","107.550","106.010","-0.26%"
"Sep 29, 2016","107.250","106.600","107.610","105.760","0.37%"
"Sep 28, 2016","106.850","106.360","107.340","105.800","0.09%"
"Sep 27, 2016","106.750","106.620","107.400","105.790","-0.05%"
"Sep 26, 2016","106.800","106.630","107.480","106.070","-0.07%"
"Sep 23, 2016","106.880","106.570","107.420","106.090","-0.62%"
"Sep 22, 2016","107.550","107.130","107.890","106.150","-0.05%"
"Sep 21, 2016","107.600","107.130","107.920","106.670","0.20%"
"Sep 20, 2016","107.380","107.100","107.810","106.510","-0.11%"
"Sep 19, 2016","107.500","107.150","107.840","106.480","-0.05%"
"Sep 16, 2016","107.550","106.840","107.790","106.440","0.05%"
"Sep 15, 2016","107.500","107.000","107.890","106.410","0.14%"
"Sep 14, 2016","107.350","106.880","107.790","106.420","0.05%"
"Sep 13, 2016","107.300","106.630","107.790","106.300","0.09%"
"Sep 12, 2016","107.200","106.600","107.620","106.350","0.61%"
"Sep 09, 2016","106.550","106.260","107.310","105.930","-0.05%"
"Sep 08, 2016","106.600","106.030","106.970","105.720","0.05%"
"Sep 07, 2016","106.550","106.500","107.270","105.630","-0.47%"
"Sep 06, 2016","107.050","106.790","107.410","105.880","0.23%"
"Sep 05, 2016","106.800","106.750","107.100","106.300","-0.07%"
"Sep 02, 2016","106.880","106.490","107.590","106.240","-0.42%"
"Sep 01, 2016","107.330","107.420","107.950","106.590","-0.15%"
"Aug 31, 2016","107.490","107.320","107.660","106.640","-0.15%"
"Aug 30, 2016","107.650","107.350","108.080","106.740","-0.19%"
"Aug 29, 2016","107.850","107.100","108.090","106.930","0.47%"
"Aug 26, 2016","107.350","107.030","107.840","106.670","-0.37%"
"Aug 25, 2016","107.750","107.310","107.990","106.720","-0.05%"
"Aug 24, 2016","107.800","107.270","108.600","106.830","0.05%"
"Aug 23, 2016","107.750","107.330","108.120","106.770","0.00%"
"Aug 22, 2016","107.750","107.000","108.140","106.750","0.28%"
"Aug 19, 2016","107.450","106.730","107.800","106.480","0.23%"
"Aug 18, 2016","107.200","106.830","107.570","106.300","0.14%"
"Aug 17, 2016","107.050","106.580","107.660","106.330","-0.05%"
"Aug 16, 2016","107.100","106.800","107.580","106.290","-0.28%"
"Aug 15, 2016","107.400","106.870","107.580","106.350","0.28%"
"Aug 12, 2016","107.100","106.740","107.220","106.360","-0.19%"
"Aug 11, 2016","107.300","106.950","107.890","106.400","0.05%"
"Aug 10, 2016","107.250","106.450","107.720","106.090","0.00%"
"Aug 09, 2016","107.250","107.000","107.930","106.440","0.00%"
"Aug 08, 2016","107.250","107.080","107.840","106.240","-0.07%"
"Aug 05, 2016","107.330","107.310","107.330","106.290","0.00%"
"Aug 04, 2016","107.330","107.130","107.520","106.470","-0.05%"
"Aug 03, 2016","107.380","106.930","107.920","106.230","0.26%"
"Aug 02, 2016","107.100","107.000","108.000","106.230","-0.09%"
"Aug 01, 2016","107.200","106.920","108.000","106.210","-0.79%"
"Jul 29, 2016","108.050","107.250","108.050","106.630","0.42%"
"Jul 28, 2016","107.600","106.850","108.010","106.700","0.00%"
"Jul 27, 2016","107.600","107.470","107.760","106.910","-0.42%"
"Jul 26, 2016","108.050","107.410","108.410","107.090","0.00%"
"Jul 25, 2016","108.050","107.550","108.270","106.980","0.51%"
"Jul 22, 2016","107.500","107.090","108.030","106.790","-0.14%"
"Jul 21, 2016","107.650","107.410","108.140","106.970","-0.23%"
"Jul 20, 2016","107.900","107.800","108.300","106.920","0.23%"
"Jul 19, 2016","107.650","106.970","107.650","106.720","-0.14%"
"Jul 18, 2016","107.800","107.300","108.320","106.780","0.28%"
"Jul 15, 2016","107.500","107.000","108.080","106.460","0.00%"
"Jul 14, 2016","107.500","107.770","108.270","106.490","-0.42%"
"Jul 13, 2016","107.950","108.030","108.760","106.760","-0.28%"
"Jul 12, 2016","108.250","108.040","108.840","106.870","0.00%"
"Jul 11, 2016","108.250","108.070","108.890","106.810","0.00%"
"Jul 08, 2016","108.250","107.700","109.070","107.200","-0.28%"
"Jul 07, 2016","108.550","108.270","109.090","107.070","0.00%"
"Jul 06, 2016","108.550","108.500","109.100","108.000","0.00%"
"Jul 05, 2016","108.550","107.350","108.770","106.870","0.15%"
"Jul 04, 2016","108.390","108.300","108.480","106.940","0.02%"
"Jul 01, 2016","108.370","108.400","108.740","107.060","-0.21%"
"Jun 30, 2016","108.600","108.250","109.140","107.470","0.00%"
"Jun 29, 2016","108.600","108.700","109.410","107.670","-0.28%"
"Jun 28, 2016","108.900","108.440","109.460","107.850","-0.14%"
"Jun 27, 2016","109.050","108.100","109.490","107.850","0.46%"
"Jun 24, 2016","108.550","107.450","109.640","107.150","0.79%"
